Site,SampleTime,SampleDate,pH,LocationType,Na_mgL,Mg_mgL,Al_mgL,SiO2_mgL,K_mgL,Ca_mgL,Mn_mgL,Fe_mgL,F_mgL,Cl_mgL,NO3_mgL,SO4_mgL,DOC_mgL,TDN_mgL,GWType,X,Y,Na_MP,Mg_MP,Al_MP,Si_MP,P_MP,K_MP,Ca_MP,Mn_MP,Fe_MP,Zn_MP,Rb_MP,Sr_MP,Ba_MP,Pb_MP,NH4 mg N/L,Alm_mgL,Alo_mgL,Durham_id,Method,SpecCond,DON_mgL,TMAl_mgL,OMAl_mgL,IMAl_mgL,NH4_NmgL,PO4_PmgL,S_mgL,Sr_mgL,Zn_mgL
D1,NA,2014-06-14T00:00:00Z,5.03,G5,0.898706,0.214449,0.307791,2.46676,0.120676,0.531027,0.008,0.021,0.04994308272446399,0.507842760256018,1.1979287063387547,2.6138309252913166,2.702734531701237,0.37116517763779877,shallow,281751.062,4870859.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1,NA,2014-06-16T00:00:00Z,4.89,G5,0.883893,0.18585,0.341083,2.5052,0.11773,0.503083,0.008,0.021,0.08485720918673671,0.5777598345794305,1.206138164504992,2.644792199071812,2.8435332519771466,0.36454498987097045,shallow,281751.062,4870859.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.23402937708514368,0.05965905939142526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P1,1899-12-31T11:15:00Z,2014-07-16T00:00:00Z,4.77,S5,0.674852,0.0957968,0.433497,1.73723,0.07224417031473396,0.3566164794442721,0.008,0.0478748,0.04813535768604774,0.44943607102732475,0.21792100536066172,2.362268870327834,4.92190764583411,0.22223523096486575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.2874980847193347,0.12587424130786448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P1,1899-12-31T13:00:00Z,2013-03-11T00:00:00Z,4.86,S5,0.745273,0.11797,0.322635,2.67892,0.0699564,0.346879,0.008,0.021,0.08689429260000642,0.46383283061521036,0.3613969852822819,2.906268726934439,3.3746706453045077,0.18649410580640538,NA,NA,NA,0.851031886075865,0.131954333113239,0.358901012169487,2.74793198095831,NA,0.0884199137158884,0.346985614775191,0.00296995839742995,0.0411416661273416,NA,4.4970791087931e-4,0.00392656752888199,0.00518096115835331,NA,0.0025,0.19568194531519967,0.07570002010725006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P1,1899-12-31T13:50:00Z,2013-11-07T00:00:00Z,4.74,S5,1.1517189477952492,0.14382393596195014,0.44211857210296046,2.2150619320182354,0.07341800254270149,0.5465721851814573,0.008,0.021,0.0470654034372439,0.6182992646795615,3.814779742167485,1.295106549318309,3.7648876051091866,0.995906394327081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P1,1899-12-31T14:30:00Z,2013-03-13T00:00:00Z,4.86,S5,0.718636,0.13927,0.389082,2.38221,0.107753,0.40357400000000004,0.008,0.021,0.06409686631700874,0.5745275865963125,1.9305981723205843,2.104920261494364,2.9406133617267827,0.5612721302860404,NA,NA,NA,0.689195624839553,0.131705687154275,0.372479895856314,1.95263439854978,NA,0.101583529412393,0.55331630815805,0.00265038194333228,0.0244091193558497,NA,6.2532067870548e-4,0.004880103204625241,0.0130501510303992,NA,0.0025,0.2781886022595728,0.07762316169499843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P1,NA,2013-03-27T00:00:00Z,4.89,S5,0.595062,0.120062,0.282545,2.23376,0.12242148508854375,0.298796,0.008,0.021,0.03996373160160034,0.5033916017560701,0.4440457446994104,2.7296490944535954,3.6214100113097003,0.2477189203978986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.2146300270591511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P1,NA,2013-04-01T00:00:00Z,4.86,S5,0.70312,0.129129,0.391988,2.48533,0.14212,0.354335,0.008,0.021,0.05404727142232448,0.6007871263637737,0.5836788888659538,2.129778207488643,3.5992902752451417,0.25325194832375275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.22687181639717174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P1,NA,2013-09-03T00:00:00Z,4.77,S5,1.2057,0.157846,0.393485,1.94486,0.0977529658896691,0.578454,0.008,0.0655499,0.05409913591669519,0.4416195028877366,2.536398293097822,1.8363332448920653,4.980370349236335,0.7789257105269098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.22050977512788,0.09293596673663633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P1,NA,2014-06-04T00:00:00Z,4.93,S5,0.72763,0.129878,0.319987,2.25844,0.193229,0.386523,0.008,0.021,0.028136341005607194,0.5266750492606279,0.7834638053787846,2.3693473927379367,3.6085672968126965,0.3230822340391271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P1,NA,2014-06-05T00:00:00Z,4.75,S5,0.740907,0.130136,0.354289,2.24811,0.179729,0.365669,0.008,0.021,0.04809811556217643,0.5390269593973877,0.6331283454214556,2.4598558408699027,3.761804647916683,0.3060668096758869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P1,NA,2014-06-13T00:00:00Z,4.78,S5,0.774903,0.126571,0.388007,1.77487,0.139891,0.374793,0.008,0.021,0.05274939310503363,0.7200881363178954,0.44735351735659423,2.308446581148196,3.9778762884113803,0.230718820183807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P1,NA,2014-06-14T00:00:00Z,4.83,S5,0.745834,0.135631,0.391526,1.40455,0.132165,0.358115,0.008,0.021,0.04743841296630238,0.6771362752080069,0.7981920920458454,2.1295151421282137,4.04640660412146,0.2881587734154408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P1,NA,2014-06-16T00:00:00Z,4.7,S5,0.728962,0.122542,0.416785,1.72964,0.122857,0.357264,0.008,0.021,0.08739733182789206,0.6232450524778815,0.7589441134726469,2.1967175805403762,4.148353475357087,0.29892433473653113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.2693176093485296,0.09940287877738586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
