,Site,SampleTime,SampleDate,pH,LocationType,GWType,X,Y,Na_mgL,Mg_mgL,Al_mgL,SiO2_mgL,K_mgL,Ca_mgL,Mn_mgL,Fe_mgL,F_mgL,Cl_mgL,NO3_mgL,SO4_mgL,DOC_mgL,TDN_mgL,Na_MP,Mg_MP,Al_MP,Si_MP,P_MP,K_MP,Ca_MP,Mn_MP,Fe_MP,Zn_MP,Rb_MP,Sr_MP,Ba_MP,Pb_MP,NH4 mg N/L,Alm_mgL,Alo_mgL,Durham_id,Method,SpecCond,DON_mgL,TMAl_mgL,OMAl_mgL,IMAl_mgL,NH4_NmgL,PO4_PmgL,S_mgL,Sr_mgL,Zn_mgL
322,E2F,NA,7/10/09,4.25,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034,0.188,0,2.386,11.07523839,0.224732625,0.462,0.133,1.039,1.732,NA,0.041,0.424,0.008,0.17,0.007,0.00024,0.00288,0.00635,0.00041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,E2F,NA,4/1/10,4.65,1,stream,NA,NA,0.45,0.14,1.11,1.78,0.09,0.28,0.01,0.16,0.02,0.32,0.5,1.94,9.76,0.37,0.469,0.13,0.964,1.483,NA,0.063,0.211,0.007,0.099,0.004,0.00053,0.00223,0.00453,0.00024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,E2F,NA,10/1/10,4.51,1,stream,NA,NA,0.521243,0.145612,1.14367,2.68841,0.0527688,0.449314,0.020291,0.202532,0.049374055,0.635380232,0.120583115,2.992608761,14.19217021,0.332067744,0.50866139,0.157195313,1.090069024,2.722610892,NA,0.05778,0.448089109,0.021,0.186,NA,4.00E-04,0.0031,0.00569,0.00032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,E2G,NA,7/10/09,4.23,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,0.162,0,2.484,10.46088105,0.225145171,0.459,0.129,1.011,1.62,NA,0.026,0.399,0.005,0.069,0.005,0.00014,0.00268,0.00579,0.00043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,E2G,NA,4/1/10,4.57,1,stream,NA,NA,0.47,0.13,1.11,1.78,0.08,0.29,0.01,0.07,0.02,0.31,0.6,2.05,9.18,0.35,0.462,0.127,1.064,1.632,NA,0.074,0.225,0.007,0.055,0.004,0.00044,0.00286,0.00611,0.00032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,E2G,NA,10/1/10,4.8,1,stream,NA,NA,0.468451,0.132755,1.10548,2.41547,0.0661757,0.38919,0.008,0.075094,0.04459462,0.595626621,0.791745341,2.972634062,12.41627672,0.415748862,0.45939314,0.138580078,1.021299659,2.361614259,NA,0.07314,0.375643564,0.012,0.064,NA,0.00041,0.00289,0.00551,0.00028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,E3A,NA,7/10/09,4.6,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,0.238,0,2.852,4.526812007,0.138646619,0.636,0.167,0.649,1.756,NA,0.056,0.528,0.01,0.009,0.005,0.00025,0.00457,0.00606,0.00026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,E3A,NA,4/1/10,4.82,1,stream,NA,NA,0.53,0.15,0.69,2,0.1,0.37,0.01,0.01,0.02,0.3,0.72,2.25,4.3,0.33,0.523,0.137,0.567,1.667,NA,0.048,0.267,0.011,0.008,0.005,0.00039,0.00357,0.00492,0.00015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,E3A,NA,10/1/10,4.72,1,stream,NA,NA,0.495416,0.128364,0.755512,1.75548,0.120831,0.405765,0.022513,0.021,0.122408663,0.581756738,0.300589823,2.865158396,7.421430794,0.27479994,0.476037819,0.140648438,0.750184024,1.7906215,NA,0.1008,0.41410231,0.023,0.011,NA,6.00E-04,0.00353,0.00498,2.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,E3B,NA,7/10/09,4.45,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.42,0,2.65,4.843899666,0.125517897,0.576,0.161,0.679,1.571,NA,0.041,0.442,0.009,0.011,0.007,0.00016,0.00385,0.00751,0.00031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,E3B,NA,4/1/10,4.79,1,stream,NA,NA,0.5,0.16,0.75,1.96,0.06,0.36,0.01,0.01,0.03,0.29,0.75,2.23,4.65,0.35,0.476,0.149,0.738,1.728,NA,0.056,0.265,0.014,0.011,0.005,0.00036,0.00373,0.00592,0.00017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,E3B,NA,10/1/10,4.7,1,stream,NA,NA,0.449034,0.12386,0.754953,1.68125,0.0829327,0.374752,0.022366,0.021,0.053290719,0.591814743,0.331715879,2.931504931,7.747282811,0.253918619,0.47337467,0.140648438,0.761044098,1.814231778,NA,0.09906,0.407841584,0.024,0.014,NA,6.00E-04,0.00339,0.00493,0.00021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,E3C,NA,7/10/09,4.33,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,0.228,0,2.77,4.724991794,0.116404327,0.591,0.17,0.717,1.59,NA,0.048,0.457,0.012,0.009,0.007,0.00025,0.00404,0.00638,0.00023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,E3C,NA,10/1/10,4.68,1,stream,NA,NA,0.48144,0.1485,0.833589,1.89335,0.108134,0.421278,0.03192,0.021,0.052696737,0.597459415,0.287500316,2.883279167,8.375711702,0.271371664,0.600540018,0.175121094,0.856600756,2.01209192,NA,0.2263425,0.465082508,0.035,0.025,NA,9.00E-04,0.00369,0.00565,0.00029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,E3D,NA,7/10/09,4.35,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,0.228,0,2.79,4.78444573,0.130338103,0.593,0.171,0.705,1.621,NA,0.049,0.451,0.012,0.008,0.007,0.00026,0.00404,0.00618,0.00028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,E3D,NA,4/1/10,4.79,1,stream,NA,NA,0.47,0.15,0.72,1.8,0.05,0.32,0.02,0.01,0.03,0.28,0.66,2.23,4.49,0.33,0.528,0.158,0.659,1.588,NA,0.022,0.229,0.015,0.002,0.005,0.00032,0.0032,0.00521,2.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,E3E,NA,7/10/09,4.39,1,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.194,0,2.696,5.279895197,0.126427401,0.545,0.163,0.772,1.444,NA,0.037,0.411,0.012,0.01,0.006,0.00018,0.00355,0.00572,3.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,E3E,NA,4/1/10,4.78,1,stream,NA,NA,0.47,0.16,0.81,1.78,0.04,0.29,0.02,0.01,0.02,0.29,0.69,2.19,5.02,0.35,0.597,0.179,0.821,1.745,NA,0.007,0.212,0.017,0,0.005,0.00026,0.00322,0.00543,2.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,E3E,NA,10/1/10,4.66,1,stream,NA,NA,0.439416,0.139522,0.790769,1.74496,0.0938622,0.370949,0.033187,0.021,0.05041664,0.62637314,0.211784637,2.896766729,9.253184635,0.277526979,0.489353562,0.170294922,0.830625805,1.946539563,NA,0.11628,0.427518152,0.039,0.028,NA,0.00071,0.00332,0.00518,0.00024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,E4A,1899-12-31 00:00:00,3/13/13,NA,1,stream,NA,NA,0.567686,0.175145,0.543123,1.69651,0.253694,0.393192,0.028072,0.0502958,0.048645957,0.775144693,1.793074974,1.953867742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031907832,0.349279077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,E4A,1899-12-31 05:00:00,3/13/13,NA,1,stream,NA,NA,0.534819,0.15063,0.500534,1.75491,0.178874,0.370539,0.0270033,0.021,0.044962845,0.575229224,1.676897273,2.016545324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111726417,0.324720416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,E4A,1899-12-31 09:00:00,3/13/13,NA,1,stream,NA,NA,0.531545,0.150139,0.550629,1.77939,0.16422,0.359271,0.0265371,0.021,0.042424912,0.57177858,1.677905905,2.157973314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015623866,0.360851794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,E4A,1899-12-31 10:00:00,3/12/13,4.67,1,stream,NA,NA,0.684273,0.19568,0.522808,1.97069,0.140725,0.347386,0.0272619,0.0452115,0.041370421,0.853790309,1.422348163,2.919300966,5.046051146,0.481523518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007875232,0.355420556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,E4A,1899-12-31 10:25:00,10/29/12,4.73,1,stream,NA,NA,0.643392,0.129527,0.489017,2.2421,0.0823412,0.339051,0.0202017,0.021,0.018996168,0.477381811,0.119845764,2.421797072,5.879049816,0.20270635,0.571666187,0.110963303,0.441777778,1.943278481,-0.003,0.090752212,0.31076,0.018,0.005529781,0.006,0.000484312,0.002806818,0.005087719,3.00E-04,-0.002061085,0.247784464,0.141342068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,E4A,1899-12-31 11:00:00,3/13/13,4.58,1,stream,NA,NA,0.526986,0.141233,0.626828,1.69992,0.13437,0.291274,0.0218704,0.0701204,0.041935269,0.667538763,1.475556655,2.148742392,7.240256792,0.501123564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.406822941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
